Geo Point;Geo Shape;gares_id;nom_long;nom;nom_sous;nom_sur;id_ref_lda;nom_lda;id_ref_zdl;nom_zdl;num_mod;mode;fer;train;rer;metro;tramway;navette;val;terfer;tertrain;terrer;termetro;tertram;ternavette;terval;idrefliga;idrefligc;ligne;indice_lig;res_com;exploitant;idf;principal;x;y;picto ligne;nom_iv
48.970665047412545,2.077731765931404;"{""coordinates"": [2.077731765931404, 48.970665047412545], ""type"": ""Point""}";6.0;Achères-Ville;Achères-Ville;;;73604.0;Achères Ville;46647.0;Achères Ville;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01856;C01742;RER A;A;RER A;SNCF;1.0;0.0;632479.4116000012;6874918.732500002;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Achères-Ville
48.970665047412545,2.077731765931404;"{""coordinates"": [2.077731765931404, 48.970665047412545], ""type"": ""Point""}";7.0;Achères-Ville;Achères-Ville;;;73604.0;Achères Ville;46647.0;Achères Ville;0.0;TRAIN;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A02176;C01740;TRAIN L;L;TRAIN L;SNCF;1.0;0.0;632479.4116000012;6874918.732500002;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/954a47388dc356e3473289e5f47d0270;Achères-Ville
48.71262898655513,2.4036331049084922;"{""coordinates"": [2.403633104908492, 48.71262898655513], ""type"": ""Point""}";31.0;Athis-Mons;Athis-Mons;;;63134.0;Athis-Mons;46395.0;Athis-Mons;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01840;C01727;RER C;C;RER C;SNCF;1.0;0.0;656121.8462999985;6845998.1466999985;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Athis-Mons
48.8721574939563,2.329927170608276;"{""coordinates"": [2.329927170608276, 48.8721574939563], ""type"": ""Point""}";32.0;Auber;Auber;;;478926.0;Auber;45873.0;Auber;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01856;C01742;RER A;A;RER A;RATP;1.0;0.0;650849.5187000036;6863778.762600001;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Auber
48.85955731595251,2.9057369631855496;"{""coordinates"": [2.90573696318555, 48.85955731595251], ""type"": ""Point""}";222.0;Crécy-la-Chapelle;Crécy-la-Chapelle;;;68293.0;Crécy-la-Chapelle;47894.0;Crécy-la-Chapelle;0.0;TRAIN;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;TRAIN P;0;0;0;0;0;A01844;C01730;TRAIN P;P;TRAIN P;SNCF;1.0;1.0;693083.9623999968;6862173.256099999;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/3216a7aca01ab7c67110982329e4a82e;Crécy-la-Chapelle
48.97605425220996,2.338524070645141;"{""coordinates"": [2.338524070645141, 48.97605425220996], ""type"": ""Point""}";238.0;Deuil-Montmagny;Deuil-Montmagny;;;65562.0;Deuil - Montmagny;473159.0;Deuil - Montmagny;0.0;TRAIN;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01849;C01737;TRAIN H;H;TRAIN H;SNCF;1.0;0.0;651576.878399998;6875326.554200001;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/3544694520ec675b39cbddf7993a4b79;Deuil-Montmagny
49.0329720458511,2.3368296898368275;"{""coordinates"": [2.336829689836827, 49.0329720458511], ""type"": ""Point""}";239.0;Domont;Domont;;;66654.0;Domont;43120.0;Domont;0.0;TRAIN;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01849;C01737;TRAIN H;H;TRAIN H;SNCF;1.0;0.0;651506.0055999979;6881657.211599998;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/3544694520ec675b39cbddf7993a4b79;Domont
48.80577037508855,2.619395778989611;"{""coordinates"": [2.619395778989611, 48.80577037508855], ""type"": ""Point""}";963.0;Émerainville-Pontault-Combault;Émerainville-Pontault-Combault;;;67897.0;Émerainville - Pontault-Combault;43074.0;Émerainville - Pontault-Combault;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01843;C01729;RER E;E;RER E;SNCF;1.0;0.0;672046.5097000003;6856255.785500001;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/528f29b53fa23aaf2d4c4f0b14c0bf87;Émerainville-Pontault-Combault
48.97274911883082,2.307137030705632;"{""coordinates"": [2.307137030705632, 48.97274911883082], ""type"": ""Point""}";256.0;Enghien-Les-Bains;Enghien-Les-Bains;;;65485.0;Enghien-les-Bains;43075.0;Enghien-les-Bains;0.0;TRAIN;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01849;C01737;TRAIN H;H;TRAIN H;SNCF;1.0;0.0;649276.0332999974;6874978.718699999;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/3544694520ec675b39cbddf7993a4b79;Enghien-Les-Bains
48.953396460755734,2.30234042019572;"{""coordinates"": [2.30234042019572, 48.953396460755734], ""type"": ""Point""}";258.0;Épinay-sur-Seine;Épinay-sur-Seine;;;72383.0;Épinay-sur-Seine;43077.0;Épinay-sur-Seine;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01840;C01727;RER C;C;RER C;SNCF;1.0;0.0;648905.8716999963;6872829.765299998;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Épinay-sur-Seine
